,Date,top_long,top_short,top_10_long,top_10_short,no_long,no_short,gross_long,gross_short
0,2020-11-30,0.4870116039364,-0.4825526981018,0.5752805364875999,-0.580159474836,80,68,0.7020866949053999,0.686292319493
1,2020-12-31,2.1043515980624004,-2.0850825052944,2.2954059655290004,-2.2865592033198,115,118,2.6842635083508006,2.5856184743223998
2,2021-01-29,2.214160131969,-2.2066906761022,2.389568522849,-2.4170799568042,147,91,2.5438377490810002,2.5472798919748
3,2021-02-26,2.2958811928128,-2.2884751244488,2.5834740139053998,-2.5836068961934004,84,85,3.0388655734328007,2.9029220091042007
4,2021-03-31,1.5199443528190668,-1.5056309755054667,1.7943829682185335,-1.7808364998070667,61,68,2.0748729902168006,2.002011612264934
5,2021-04-30,0.3042377847084,-0.29545345430493336,0.7056353508868,-0.7512674253316002,70,70,1.1878626985621332,1.1904564538469335
6,2021-05-31,0.119892288672,-0.16110955458,0.48622820609120004,-0.5014080429081333,72,55,1.1808949421794668,0.9442881116282666
7,2021-06-30,0.1026816,-0.0676655276,0.4869721032905333,-0.36153195210946665,51,54,0.8448974762629333,0.7149781909052001
8,2021-07-30,0.12698519242746667,-0.10429340175360001,0.5273006297881334,-0.4424939878368,42,36,0.764671790312,0.5893314950061334
9,2021-08-31,0.15394842213333332,-0.15611853844533333,0.7881404180228,-0.8834132552706666,41,25,1.0214401910873334,1.0086785625108
10,2021-09-27,0.460959275,-0.460959275,0.9616622255416001,-0.9870921153642667,34,23,1.1870764254728,1.1170488267254666
