,Date,ctr,ctr_long,ctr_short
0,2020-11-02,-5.2781810199999994e-05,5.027706000000001e-07,-5.3284580800000006e-05
1,2020-11-03,-5.437610380000001e-05,4.6329799999999997e-07,-5.4839401800000004e-05
2,2020-11-04,-0.00014142623459999996,0.00018953141000000001,-0.00033095764459999995
3,2020-11-05,4.2250076800000005e-05,5.1690970799999994e-05,-9.44089399999998e-06
4,2020-11-06,3.474106800000019e-06,2.7375582000000003e-05,-2.3901475200000017e-05
5,2020-11-09,-0.00027038952420000003,-0.00027692604100000004,6.536516799999981e-06
6,2020-11-10,-0.00040062756800000003,-0.0003434661878,-5.7161380199999986e-05
7,2020-11-11,0.0004144466311999999,0.0009539867946,-0.0005395401634
8,2020-11-12,0.00026208541760000005,0.0001297790806,0.000132306337
9,2020-11-13,-0.0003228922042,-0.00010789865920000002,-0.00021499354499999998
10,2020-11-16,-0.0011828565518000004,-0.00046252360179999997,-0.0007203329499999999
11,2020-11-17,-0.0005963009791999999,-0.0006447883092000001,4.848733000000001e-05
12,2020-11-18,-0.00030471245960000005,-0.000241594157,-6.311830260000002e-05
13,2020-11-19,0.0001374022048,-3.8158888000000026e-05,0.0001755610928
14,2020-11-20,8.736043599999956e-06,0.00029796307559999994,-0.00028922703199999995
15,2020-11-23,4.9886156600000094e-05,-0.0005964068402,0.0006462929968
16,2020-11-24,-0.00012853597860000023,0.00029999397340000006,-0.0004285299520000001
17,2020-11-25,0.0004094810139999999,-0.0001397577433999999,0.0005492387574
18,2020-11-26,1.7271467399999937e-05,-1.8716819399999917e-05,3.598828680000006e-05
19,2020-11-27,-0.001048185453,0.0004225198416000001,-0.0014707052945999999
20,2020-11-30,0.0063944610554,-0.0076662736679999986,0.014060734723399998
21,2020-12-01,-0.0069026376712,0.0038813453366,-0.0107839830078
22,2020-12-02,0.0014997180384000014,-0.007457653018600001,0.008957371057000002
23,2020-12-03,0.0004781306562,0.0012772427936,-0.0007991121373999997
24,2020-12-04,-0.0008221678389999997,0.0011571501418,-0.0019793179807999998
25,2020-12-07,0.0005583553648000014,-0.006366111355,0.006924466719799998
26,2020-12-08,0.0009378111005999992,0.0056217756326,-0.004683964532000002
27,2020-12-09,-0.0009387238019999999,-0.0007360650211999999,-0.0002026587807999999
28,2020-12-10,0.0035858571314000007,-0.005172146587999998,0.008758003719399998
29,2020-12-11,-0.002819622932,-0.0042947206508,0.0014750977188000003
30,2020-12-14,-0.0014194966946,0.0010025868238,-0.0024220835184
31,2020-12-15,-0.0024313571725999967,0.036910664679600004,-0.0393420218522
32,2020-12-16,0.004135826307600001,0.0031857743728000007,0.0009500519348000004
33,2020-12-17,-0.0006888184698000008,-0.0011217465690000002,0.00043292809920000044
34,2020-12-18,-0.0023663030651999953,0.016303764534000006,-0.018670067599199997
35,2020-12-21,0.009493562806399984,-0.0444980850934,0.053991647899799995
36,2020-12-22,-0.005752100613400001,0.0076342391294,-0.0133863397428
37,2020-12-23,-0.0007170306916000009,0.0007878857597999998,-0.0015049164514
38,2020-12-24,0.0005744773398,0.0010090300415999999,-0.0004345527018
39,2020-12-25,0.00018139100379999996,0.0002492591646,-6.786816079999999e-05
40,2020-12-28,0.001617708550399998,0.0181045887598,-0.0164868802094
41,2020-12-29,-0.003544576212800001,0.0106775495046,-0.0142221257174
42,2020-12-30,0.017736869897999996,-0.0145982424216,0.0323351123196
43,2020-12-31,-0.0009542167120000002,-0.0022756890581999995,0.0013214723462
44,2021-01-01,-6.1888519e-05,0.0,-6.1888519e-05
45,2021-01-04,-0.010303688301599993,0.03374320189700001,-0.0440468901986
46,2021-01-05,-0.011730463869800005,0.019981675171199996,-0.031712139041
47,2021-01-06,0.0005342323625999995,0.0050470405945999995,-0.004512808232
48,2021-01-07,-0.00037194377619995377,0.11244868220480005,-0.11282062598100003
49,2021-01-08,0.0143604594368,0.023481066259799996,-0.009120606823
50,2021-01-11,-0.004116897290599995,-0.0165490258706,0.012432128580000002
51,2021-01-12,0.0026922380789999962,0.0661256484274,-0.06343341034839999
52,2021-01-13,-0.001189481188400006,-0.012486233766399997,0.011296752578
53,2021-01-14,0.0103497822256,0.0107369021772,-0.0003871199516000004
54,2021-01-15,-0.0014445430692000113,-0.053000906851,0.05155636378180001
55,2021-01-18,-0.008358005111599995,0.0167559337302,-0.0251139388418
56,2021-01-19,0.005382436591799999,0.0022449471878000006,0.003137489404
57,2021-01-20,0.0006073397951999978,0.05463792104979999,-0.0540305812546
58,2021-01-21,0.0012034783119999996,0.006540558748,-0.005337080435999999
59,2021-01-22,-0.0031426684885999994,-0.004541833887000001,0.0013991653983999996
60,2021-01-25,-0.0025150583852000074,-0.054714416636200004,0.05219935825099999
61,2021-01-26,-0.0035096354066000007,0.0106598125616,-0.014169447968199998
62,2021-01-27,0.0065967360341999855,-0.06616865948759999,0.07276539552180002
63,2021-01-28,-0.007277071518,0.0005751444789999999,-0.007852215996999999
64,2021-01-29,-0.004099140902600001,-0.026606571490599994,0.022507430588
65,2021-02-01,-0.0031201998842000024,0.030629078434199986,-0.0337492783184
66,2021-02-02,-0.006567934631200006,0.0415264003094,-0.0480943349406
67,2021-02-03,0.0202892447624,0.015621188850999999,0.004668055911400001
68,2021-02-04,-0.009107972183999998,0.0164197740832,-0.025527746267199995
69,2021-02-05,0.0176669818626,-0.040184160221600006,0.05785114208420003
70,2021-02-08,-0.005984278118000004,0.022675916037800004,-0.028660194155799998
71,2021-02-09,0.0049459008724,0.017801833273799996,-0.0128559324014
72,2021-02-10,-0.007011523848800002,-0.013239706315,0.006228182466199999
