,Month,ctr_long,ctr_short
0,2020-11,-0.0081627041178,0.011399113424799996
1,2020-12,0.021282396898800005,-0.009839740577600002
2,2021-01,0.12891088649899995,-0.1453046694892
3,2021-02,0.12584168624199998,-0.10541800773540003
4,2021-03,0.13474730803059998,-0.13269738150193333
5,2021-04,0.06228730806146668,-0.038820149235200004
6,2021-05,0.02067651065173333,-0.02256811788466668
7,2021-06,0.014342767696133338,-0.031899441987066665
8,2021-07,0.0209122912968,-0.021046678976133333
9,2021-08,0.03248801502706666,-0.028166992034266664
10,2021-09,0.03693721785386661,-0.02624845560253336
