,Date,ctr,ctr_long,ctr_short
0,2020-11,0.0032364093069999996,-0.008162704117800002,0.011399113424799998
1,2020-12,0.011442656321199984,0.021282396898799988,-0.009839740577599993
2,2021-01,-0.016393782990199952,0.12891088649900004,-0.14530466948919998
3,2021-02,0.020423678506599964,0.12584168624199998,-0.1054180077354
4,2021-03,0.0023962967427999977,0.05112740252986665,-0.04873110578706665
5,2021-04,0.023467158826266668,0.06228730806146667,-0.0388201492352
6,2021-05,-0.001891607232933328,0.02067651065173333,-0.022568117884666658
7,2021-06,-0.017556674290933334,0.014342767696133334,-0.03189944198706667
8,2021-07,-0.00013438767933333305,0.020912291296799997,-0.021046678976133333
9,2021-08,0.0043219582655999985,0.03248802540226667,-0.028166067136666664
10,2021-09,0.013577327450799873,-0.00685047508720007,0.020427802538
